body,title,url
Por Cristina Castro* ,"
                        “Nuestros clientes tienen más de 60 años. Ellos nos salvaron”: Yanuba
                    ",https://www.semana.com/nacion/articulo/el-exito-del-restaurante-yanuba-domicilios-durante-pandemia-por-coronavirus/671031
"La Organización Mundial de la Salud (OMS) anunció este lunes la suspensión ""temporal"" de los ensayos clínicos con hidroxicloroquina que realizaba en varios países, como medida de precaución.","
                        OMS prohíbe ensayos con medicamento recomendado por Trump y Bolsonaro
                    ",https://www.semana.com/mundo/articulo/cloriquina-oms-prohibe-ensayos-con-medicamento-apoyado-por-trump-y-bolsonaro/673807
SEMANA: La decisión del presidente Iván Duque ha sido ir reactivando poco a poco el país y una de sus principales apuestas está en los municipios no covid-19. ¿Cuántos son a la fecha y cuál es la tarea que se realiza con las autoridades en dichas poblaciones?,"
                        “No me enredo con las burlas y críticas mal intencionadas”:  Alicia Arango
                    ",https://www.semana.com/nacion/articulo/entrevista-con-alicia-arango-medidas-contra-coronavirus-cadena-perpetua-y-mas/673456
"Recientemente, la calificadora de riesgo internacional Fitch Ratings rebajó sus proyecciones de crecimiento de la economía colombiana para 2020 y ahora espera una contracción del 4,5%, cuando antes proyectaba una caída del 2%.","
                        Fitch: economía colombiana puede caer 10% en segundo trimestre
                    ",https://www.dinero.com/economia/articulo/economia-colombiana-en-segundo-trimestre-de-2020-segun-fitch/286561
"“Vamos donde Harry”. Hasta hace apenas unas semanas, empresarios, diplomáticos y congresistas decían esa frase a la hora de cuadrar un almuerzo o una cena en Bogotá. El restaurante Harry Sasson era uno de los sitios más concurridos y apetecidos del poder. Pero su sede, esa emblemática casa, ubicada en la carrera novena con 75, ahora luce con una soledad que duele.","
                        La tragedia de los manteles
                    ",https://www.semana.com/nacion/articulo/restaurantes-los-negocios-mas-afectados-por-crisis-economica-por-coronavirus/673452
"Un estudio hecho en Singapur podría dar datos claves con respecto al coronavirus y su transmisión. De acuerdo a una investigación hecha por el Centro Nacional de Enfermedades Infecciosas de este país, los pacientes infectados con coronavirus dejarían de ser contagiosos después de once días de infectarse de la enfermedad.","
                        Covid-19: estudio dice que infectados ya no son contagiosos después de 11 días
                    ",https://www.semana.com/mundo/articulo/covid-19-estudio-dice-que-infectados-ya-no-son-contagiosos-despues-de-11-dias/673827
"Han pasado 25 años desde que Carlos Vives lanzó La tierra del olvido, un álbum que le marcó una nueva hoja de ruta a la música popular colombiana. De la mano de Iván Benavides, Teto Ocampo, Richard Blair y otros músicos de primer nivel, Vives le dijo al mundo que él era mucho más que un cantante de vallenatos con guitarra eléctrica, que sus raíces musicales eran muy diversas, y desde entonces se ha empeñado en establecer esas conexiones.","
                        Cumbiana, regresar con Carlos Vives a la tierra del olvido
                    ",https://www.semana.com/cultura/articulo/cumbiana-la-nueva-produccion-de-carlos-vives/673295
"Esta semana, los directivos del fútbol colombiano sumaron un aliado en la persona de Álvaro Uribe. El senador sostuvo una reunión virtual en la que se plantearon posibles salidas para la crisis que pasa este deporte por cuenta de las medidas de aislamiento.","
                        “No se trata de presiones”: respuesta de Duque a Uribe y dirigentes del fútbol
                    ",https://www.semana.com/deportes/articulo/no-se-trata-de-presiones-respuesta-de-duque-a-uribe-y-dirigentes-del-futbol/673751
"En siete años, el exministro Andrés Felipe Arias acudió a todos los recursos posibles para tumbar la sentencia que lo condenó a 17 años de cárcel y 30.000 millones de pesos de multa. Se trata de una de las penas más altas por corrupción que se hayan impuesto en Colombia. Al exministro lo encontraron culpable de una modalidad de contratación técnicamente irregular, pero aceptada hasta ese momento.","
                        Arias gana un round
                    ",https://www.semana.com/nacion/articulo/caso-andres-felipe-arias-en-la-corte-otros-aforados-pediran-lo-mismo/673552
"Los primeros astronautas que viajen al espacio enviados por la empresa SpaceX abrirán nuevos caminos también desde el estilo, con trajes espaciales modernos, automóviles Tesla con puertas de alas de gaviota y una elegante nave espacial, todo eso de color blanco con adornos negros.","
                        SpaceX y la elegancia de los nuevos viajes espaciales
                    ",https://www.semana.com/vida-moderna/articulo/los-trajes-espaciales-de-las-misiones-de-spacex-y-la-nasa/673757
"El miércoles 20 de mayo, el procurador general, Fernando Carrillo, tomó una de las medidas más fuertes desde que dirige el Ministerio Público: anunció el llamado a juicio disciplinario a 13 militares por el caso de espionaje masivo.","
                        El juicio de las carpetas
                    ",https://www.semana.com/nacion/articulo/espionaje-del-ejercito-detalles-del-proceso-de-la-procuraduria-contra-militares/673485
"Este lunes, los pobladores del Cauca amenecieron con zozobra, miedo y angustia. No salen de su casa ni a recibir el sol. El domingo en la noche un poco más de cien disidentes de la columna Jaime Martínez recorrieron en moto el municipio de Morales, centro del Cauca, para entregar puerta a puerta panfletos amenazantes contra la comunidad.","
                        Puerta a puerta, disidentes entregan panfletos amenazantes en Cauca
                    ",https://www.semana.com/nacion/articulo/violencia-en-el-cauca-disidentes-amenazan-a-pobladores-de-cauca/673783
